AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.06	30	0	0.008333	26.9	26.9	2018/04/18	IP
TJKV06M.07	30	0	0.008333	23.1	23.1	2018/04/18	IP
TJKV06M.11	30	0	0.008333	29.7	29.7	2018/04/18	IP
TJKV06M.13	30	0.109535442406289	0.109535442406289	21.3	21.3	2018/04/18	IP
TJKV06M.15	30	0	0.008333	22	22	2018/04/18	IP
TJKV06M.18	30	0	0.008333	33.3	147	2018/04/18	IP
TJKV06M.02	30	0	0.008333	32.2	32.2	2018/04/18	IP
TJKV06M.26	30	0.535317211010618	0.535317211010618	25.4	25.4	2018/04/18	IP
TJKV06M.32	30	0.537342832529958	0.537342832529958	19.5	19.5	2018/04/18	IP
TJKV06M.35	30	0.261625630194507	0.261625630194507	18.2	18.2	2018/04/18	IP
TJKV06M.36	30	0.608201398133211	0.608201398133211	23.3	23.3	2018/04/18	IP
TJKV06M.37	30	1.81861615533322	1.81861615533322	24.9	24.9	2018/04/18	IP
TJKV06M.38	30	0.578935653707439	0.578935653707439	22.6	22.6	2018/04/18	IP
TJKV06M.47	30	3.54997286728834	3.54997286728834	22.9	22.9	2018/04/18	IP
TJKV06M.48	30	1.52592900340094	1.52592900340094	14	14	2018/04/18	IP
TJKV06M.10	30	0.271349507229611	0.271349507229611	26.6	26.6	2018/04/18	IP
TJKV06M.08	30	0.437912523596067	0.437912523596067	24.9	24.9	2018/04/18	IP
TJKV06M.12	30	0.50184168789623	0.50184168789623	28.7	28.7	2018/04/18	IP
TJKV06M.14	30	0.364308728115	0.364308728115	21.8	21.8	2018/04/18	IP
TJKV06M.16	30	0.657246762516789	0.657246762516789	24.3	24.3	2018/04/18	IP
TJKV06M.17	30	0.51827515675068	0.51827515675068	32.6	32.6	2018/04/18	IP
TJKV06M.21	30	0.635424818075264	0.635424818075264	33.3	147	2018/04/18	IP
TJKV06M.25	60	0	0.008333	11.7	11.7	2018/04/18	IP
TJKV06M.27	60	0	0.008333	14.3	14.3	2018/04/18	IP
TJKV06M.31	60	0	0.008333	10.1	10.1	2018/04/18	IP
TJKV06M.33	60	0.034066294905243	0.034066294905243	13.5	13.5	2018/04/18	IP
TJKV06M.40	60	0	0.008333	10.6	10.6	2018/04/18	IP
TJKV06M.44	60	0	0.008333	12.4	12.4	2018/04/18	IP
TJKV06M.46	60	0	0.008333	12.4	12.4	2018/04/18	IP
TJKV06M.30	60	0	0.008333	18.6	18.6	2018/04/18	IP
TJKV06M.04	60	0.302709269511647	0.302709269511647	25.3	25.3	2018/04/18	IP
TJKV06M.05	60	0	0.008333	20.9	20.9	2018/04/18	IP
TJKV06M.01	60	0	0.008333	23	23	2018/04/18	IP
TJKV06M.19	60	0	0.008333	18	18	2018/04/18	IP
TJKV06M.22	60	0	0.008333	25.1	25.1	2018/04/18	IP
TJKV06M.23	60	0.317958851992777	0.317958851992777	18.4	18.4	2018/04/18	IP
TJKV06M.24	60	0	0.008333	16.2	16.2	2018/04/18	IP
TJKV06M.28	60	0.108630850788287	0.108630850788287	16.2	16.2	2018/04/18	IP
TJKV06M.29	60	0	0.008333	14.1	14.1	2018/04/18	IP
TJKV06M.03	60	0	0.008333	9.6	9.6	2018/04/18	IP
TJKV06M.34	60	0	0.008333	14.4	14.4	2018/04/18	IP
TJKV06M.42	60	0.112681817662279	0.112681817662279	19.3	19.3	2018/04/18	IP
TJKV06M.43	60	0	0.008333	11.1	11.1	2018/04/18	IP
TJKV06M.41	60	0	0.008333	12.5	12.5	2018/04/18	IP
