Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,WeeksNom,TimeNom,Weeks,FullGroup,Time
0.2876299686278578,0.1662646218470667,-0.08739238000000002,0.5665262560000001,TC,Female,8,0,8,Female_TC,0
0.5216591836848743,0.1576180719079206,0.17146819925,0.7939770964999999,TC,Female,8,30,8,Female_TC,30
0.6560582815484385,0.16504574137350553,0.2888928005,0.9407400849999998,TC,Female,8,60,8,Female_TC,60
0.363746506772801,0.20663093534492913,-0.11127012750000004,0.6956318199999999,TC,Male,8,0,8,Male_TC,0
0.4741362284611461,0.2052276773412445,0.001644170000000006,0.8042361962499998,TC,Male,8,30,8,Male_TC,30
0.6426605515820151,0.2031509524653603,0.17356878999999995,0.9684674249999995,TC,Male,8,60,8,Male_TC,60
0.27029460491326207,0.16244353127920236,-0.09677153274999999,0.5437680300000001,TC,Female,10,0,10,Female_TC,0
0.5410662303214957,0.15799764425805307,0.184842605,0.80892390125,TC,Female,10,30,10,Female_TC,30
0.9219800643989912,0.15627292434017132,0.5731284074999999,1.1885830324999997,TC,Female,10,60,10,Female_TC,60
0.4112792549050753,0.20176071317666547,-0.052681440000000045,0.7382751499999998,TC,Male,10,0,10,Male_TC,0
0.5630836090322796,0.20318599457296485,0.09456381750000008,0.8903423359999996,TC,Male,10,30,10,Male_TC,30
1.1491183329257602,0.17653006979364735,0.7482806625,1.4457824324999997,TC,Male,10,60,10,Male_TC,60
0.39807638780795773,0.1694955424224333,0.011630423750000014,0.6783317425,TC,Female,12,0,12,Female_TC,0
0.8571768701848167,0.15038176705945452,0.5254263022500001,1.118269605,TC,Female,12,30,12,Female_TC,30
1.1820828977015065,0.13679237047168671,0.8811815702499999,1.4243916449999998,TC,Female,12,60,12,Female_TC,60
0.4987116779961242,0.20650449840262222,0.020183745000000038,0.8284998535999999,TC,Male,12,0,12,Male_TC,0
0.851224336377338,0.18889931564003737,0.41610484499999995,1.159413836,TC,Male,12,30,12,Male_TC,30
1.5569213362129224,0.16242236640121593,1.2118089757500001,1.8549522549999997,TC,Male,12,60,12,Male_TC,60
0.4708817143131276,0.1718077876937443,0.08208014525000006,0.7575577,TC,Female,16,0,16,Female_TC,0
1.2272167526906328,0.15397052731523683,0.8894928750000001,1.4997680439999999,TC,Female,16,30,16,Female_TC,30
1.0794427298931413,0.13813477450868916,0.79961882525,1.3444445349999998,TC,Female,16,60,16,Female_TC,60
0.8955995499924485,0.15948804012790396,0.5378891727500001,1.1672899949999995,TC,Female,16,90,16,Female_TC,90
0.8190699263706338,0.16997194019605286,0.42865694250000014,1.09802518,TC,Female,16,120,16,Female_TC,120
0.6543772166421109,0.22766787591231996,0.12315833849999999,1.009339045,TC,Male,16,0,16,Male_TC,0
1.0979501195740338,0.18594008725850922,0.7003568800000001,1.4385319444999998,TC,Male,16,30,16,Male_TC,30
1.265955683252849,0.1631419258437339,0.9409651724999999,1.5842394499999999,TC,Male,16,60,16,Male_TC,60
1.1792462755855506,0.17267670114165726,0.8166438937499998,1.49793805,TC,Male,16,90,16,Male_TC,90
1.0771211938872995,0.19598560878888036,0.644751185,1.420693485,TC,Male,16,120,16,Male_TC,120
0.6905401517739349,0.169847599897606,0.3030141699999999,0.9692841024999996,TC,Female,21,0,21,Female_TC,0
2.482633709047198,0.1459271058363415,2.1720557124999997,2.7482691075,TC,Female,21,30,21,Female_TC,30
1.7186363316687874,0.11647843081377153,1.4831829508724999,1.941573155,TC,Female,21,60,21,Female_TC,60
1.2174276725299558,0.12915738519849965,0.9436018949999999,1.4547186125,TC,Female,21,90,21,Female_TC,90
1.2788445493339606,0.14605802218583788,0.9549029125,1.5339133249999997,TC,Female,21,120,21,Female_TC,120
0.7815845299683144,0.2126205164717595,0.28775362499999996,1.1220695899999997,TC,Male,21,0,21,Male_TC,0
1.9611374830627502,0.17173353393967628,1.5959284725000005,2.2756376175,TC,Male,21,30,21,Male_TC,30
1.490588420207763,0.18393233581670024,1.0722148625,1.7998525125,TC,Male,21,60,21,Male_TC,60
1.1696885658556955,0.21019625155352864,0.6963481675000001,1.530224115,TC,Male,21,90,21,Male_TC,90
1.2813826122509442,0.20091367430939303,0.8233257299999999,1.6165952999999995,TC,Male,21,120,21,Male_TC,120
