AnimalID	BW	BG	Date
TJKV06M.07	22.2	6.5	2018/03/21
TJKV06M.11	24.6	6.4	2018/03/21
TJKV06M.13	23.8	6.2	2018/03/21
TJKV06M.15	25.6	6	2018/03/21
TJKV06M.18	23.8	6.9	2018/03/21
TJKV06M.02	22.2	7.4	2018/03/21
TJKV06M.28	18.9	6.3	2018/03/21
TJKV06M.29	20.1	6.4	2018/03/21
TJKV06M.03	19.9	8	2018/03/21
TJKV06M.34	19.2	6	2018/03/21
TJKV06M.42	18.7	6.4	2018/03/21
TJKV06M.43	20.6	5.8	2018/03/21
TJKV06M.41	20.1	6.5	2018/03/21
TJKV06M.45	22	5.4	2018/03/21
TJKV06M.10	25.9	8.2	2018/03/21
TJKV06M.08	24.5	7.7	2018/03/21
TJKV06M.12	27.5	7.8	2018/03/21
TJKV06M.14	28.3	7.8	2018/03/21
TJKV06M.16	26.3	7.4	2018/03/21
TJKV06M.17	24.6	7.9	2018/03/21
TJKV06M.21	24.3	6	2018/03/21
TJKV06M.26	21	6.2	2018/03/21
TJKV06M.32	20.4	6.8	2018/03/21
TJKV06M.35	19	8.3	2018/03/21
TJKV06M.36	21.2	5.9	2018/03/21
TJKV06M.37	21.1	7.7	2018/03/21
TJKV06M.38	22.5	7.8	2018/03/21
TJKV06M.47	20.9	6	2018/03/21
TJKV06M.48	20.2	7.3	2018/03/21
TJKV06M.30	27.9	10.4	2018/03/28
TJKV06M.04	24.3	8.9	2018/03/28
TJKV06M.05	30.2	9.4	2018/03/28
TJKV06M.01	23.5	9.8	2018/03/28
TJKV06M.19	26.3	10.1	2018/03/28
TJKV06M.22	27	8.8	2018/03/28
TJKV06M.23	27.2	9.2	2018/03/28
TJKV06M.24	23.8	8.3	2018/03/28
TJKV06M.25	19.5	7.8	2018/03/28
TJKV06M.27	18.2	8	2018/03/28
TJKV06M.31	18.4	7.7	2018/03/28
TJKV06M.33	22.9	9.4	2018/03/28
TJKV06M.40	21.2	6.7	2018/03/28
TJKV06M.44	21.7	8.3	2018/03/28
TJKV06M.46	23.3	8	2018/03/28
TJKV06M.20	23	9.3	2018/03/28
TJKV06M.06	22.5	9.8	2018/03/28
TJKV06M.07	24.4	7.6	2018/03/28
TJKV06M.11	24.9	8.4	2018/03/28
TJKV06M.13	24.4	8.1	2018/03/28
TJKV06M.15	26.4	10.8	2018/03/28
TJKV06M.18	24.6	9	2018/03/28
TJKV06M.02	22.2	8.8	2018/03/28
TJKV06M.28	20.1	9	2018/03/28
TJKV06M.29	20	8.4	2018/03/28
TJKV06M.03	20.6	8	2018/03/28
TJKV06M.34	19.3	6.1	2018/03/28
TJKV06M.42	18.3	4.6	2018/03/28
TJKV06M.43	20.8	6.8	2018/03/28
TJKV06M.41	19.8	7	2018/03/28
TJKV06M.45	22.1	6.6	2018/03/28
TJKV06M.10	26.1	10.2	2018/03/28
TJKV06M.08	24.7	8.2	2018/03/28
TJKV06M.12	26.6	9.9	2018/03/28
TJKV06M.14	28.9	10.2	2018/03/28
TJKV06M.16	26.5	9.9	2018/03/28
TJKV06M.17	25.4	10	2018/03/28
TJKV06M.21	25.3	7.9	2018/03/28
TJKV06M.26	21	8.9	2018/03/28
TJKV06M.32	21.6	7.8	2018/03/28
