Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,DaysNom,Days,FullGroup,Weeks
25.815733449243925,0.631025402564885,24.58046985934857,27.05640215888428,TC,Male,29,29,Male_TC,4
21.603006314912626,0.6675543783570623,20.29018543969202,22.927844039760583,TC,Female,36,36,Female_TC,5
26.106013206806043,0.6783979070923347,24.7892862081359,27.458911916220963,TC,Male,36,36,Male_TC,5
22.703272661573028,0.7075021831935228,21.31193044579161,24.092400711578378,TC,Female,43,43,Female_TC,6
26.927530633506056,0.7206421440256083,25.514277120030886,28.370543276565403,TC,Male,43,43,Male_TC,6
21.814414661954736,0.6776681621905476,20.46430449289861,23.12680992300502,TC,Female,50,50,Female_TC,7
27.549822822865735,0.6900592654161549,26.192547847717986,28.931757776106952,TC,Male,50,50,Male_TC,7
22.58038643562804,0.6489652399837447,21.30634802078865,23.86414254936843,TC,Female,64,64,Female_TC,9
28.51306817045969,0.6693360177586782,27.211222992518756,29.852122865961036,TC,Male,64,64,Male_TC,9
23.289901629812483,0.7271443648243734,21.849274742644216,24.752128197255672,TC,Female,78,78,Female_TC,11
28.939941495231743,0.7452180026189523,27.463910309837516,30.401134921495597,TC,Male,78,78,Male_TC,11
23.987447026773822,0.8144015553059356,22.39260877802085,25.576624247635216,TC,Female,92,92,Female_TC,13
29.053559630142182,0.844174918134602,27.405493052468138,30.73294956066834,TC,Male,92,92,Male_TC,13
24.525049660107694,0.802976673504029,22.935677590415295,26.101909391365762,TC,Female,99,99,Female_TC,14
29.979180753691203,0.8303597613813163,28.345226790721807,31.631604153729572,TC,Male,99,99,Male_TC,14
25.892776183482273,0.7848167343704873,24.34889532694404,27.428873490840942,TC,Female,130,130,Female_TC,19
30.22163782867502,0.847166851874046,28.540835796330114,31.92232178432662,TC,Male,130,130,Male_TC,19
27.044648698868198,0.8820258946542222,25.31167012913701,28.803681018919804,TC,Female,143,143,Female_TC,20
30.264359623118686,0.9310372609417604,28.453243942495362,32.1369994038338,TC,Male,143,143,Male_TC,20
26.884953918880313,0.8519032052077332,25.204929542300697,28.557099997300444,TC,Female,164,164,Female_TC,23
30.541334434254264,0.9228782869968872,28.73446999154872,32.37850862540872,TC,Male,164,164,Male_TC,23
26.93431854089052,0.9079838906537684,25.160763930609207,28.707133951194123,TC,Female,183,183,Female_TC,26
30.650642732241167,0.9862850971495569,28.718547214445177,32.59842928355702,TC,Male,183,183,Male_TC,26
27.45589745215914,1.0214542561600632,25.44422007593389,29.451630035730176,TC,Female,191,191,Female_TC,27
31.294525302526527,1.1153910133704026,29.095490847865378,33.47148900492756,TC,Male,191,191,Male_TC,27
